      data,    praca,                     fonte,                     obs,             categoria,   preco
2024-01-18, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,  128.66
2024-01-18, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,  126.27
2024-01-23, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  131.79
2024-01-23, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,  125.77
2024-01-23, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,  123.54
2024-01-30, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  127.83
2024-01-30, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,  122.61
2024-01-30, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,  120.25
2024-02-21, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  112.59
2024-02-21, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,  107.52
2024-02-21, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,  104.84
2024-02-28, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  106.22
2024-02-28, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,  102.38
2024-02-28, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   99.64
2024-03-06, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  106.22
2024-03-06, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,  102.38
2024-03-06, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   99.64
2024-03-13, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  104.18
2024-03-13, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,  100.37
2024-03-13, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   97.70
2024-03-20, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  103.03
2024-03-20, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   98.49
2024-03-20, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   96.35
2024-03-27, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  101.74
2024-03-27, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   98.04
2024-03-27, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   95.95
2024-04-03, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,      Padrão superior ,  102.43
2024-04-03, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural, Padrão intermediário ,   98.68
2024-04-03, Alegrete, Associação dos Arrozeiros, Descontar 1.5% Funrural,         Padrão comum ,   96.61
